rank,name,team,position
1,Jahmyr Gibbs,DET,RB
2,Bijan Robinson,ATL,RB
3,Christian McCaffrey,SF,RB
4,Ja'Marr Chase,CIN,WR
5,Jonathan Taylor,IND,RB
6,Puka Nacua,LAR,WR
7,Jaxon Smith-Njigba,SEA,WR
8,Amon-Ra St. Brown,DET,WR
9,De'Von Achane,MIA,RB
10,Josh Allen,BUF,QB
11,Trey McBride,ARI,TE
12,James Cook III,BUF,RB
13,CeeDee Lamb,DAL,WR
14,Derrick Henry,BAL,RB
15,Brock Bowers,LV,TE
16,Chase Brown,CIN,RB
17,Justin Jefferson,MIN,WR
18,Drake London,ATL,WR
19,Saquon Barkley,PHI,RB
20,Kenneth Walker,KC,RB
21,Nico Collins,HOU,WR
22,George Pickens,DAL,WR
23,Zay Flowers,BAL,WR
24,Omarion Hampton,LAC,RB
25,Rashee Rice,KC,WR
26,Josh Jacobs,GB,RB
27,Javonte Williams,DAL,RB
28,Jameson Williams,DET,WR
29,Kyren Williams,LAR,RB
30,Jeremiyah Love,ARI,RB
31,Chris Olave,NO,WR
32,Breece Hall,NYJ,RB
33,A.J. Brown,NE,WR
34,Ashton Jeanty,LV,RB
35,Colston Loveland,CHI,TE
36,Travis Etienne Jr.,NO,RB
37,Tyler Warren,IND,TE
38,Tetairoa McMillan,CAR,WR
39,Cam Skattebo,NYG,RB
40,Jaylen Waddle,DEN,WR
41,Tee Higgins,CIN,WR
42,D'Andre Swift,CHI,RB
43,Drake Maye,NE,QB
44,David Montgomery,HOU,RB
45,DeVonta Smith,PHI,WR
46,Quinshon Judkins,CLE,RB
47,Bucky Irving,TB,RB
48,Lamar Jackson,BAL,QB
49,Joe Burrow,CIN,QB
50,Kyle Pitts Sr.,ATL,TE
51,Terry McLaurin,WAS,WR
52,Harold Fannin Jr.,CLE,TE
53,Christian Watson,GB,WR
54,Jayden Daniels,WAS,QB
55,Dak Prescott,DAL,QB
56,Ladd McConkey,LAC,WR
57,Jadarian Price,SEA,RB
58,Parker Washington,JAX,WR
59,Jalen Hurts,PHI,QB
60,Sam LaPorta,DET,TE
